review_id,category,verified_purchase,stars,review_text
R0000001,home,1,5,Love it — packaging is great and it works as expected.
R0000002,pet,1,4,Great value. Fast shipping and the training is excellent.
R0000003,electronics,1,5,Great value. Fast shipping and the battery life is excellent.
R0000004,home,1,3,Average. The instructions meets the basics.
R0000005,beauty,1,3,Average. The irritation meets the basics.
R0000006,home,0,4,Great value. Fast shipping and the instructions is excellent.
R0000007,electronics,1,4,Five stars. Easy to use and the bluetooth is solid.
R0000008,electronics,1,4,Love it — battery life is great and it works as expected.
R0000009,home,1,4,Surprisingly good. The assembly exceeded my expectations.
R0000010,fitness,1,4,Surprisingly good. The workout exceeded my expectations.
R0000011,home,1,4,Five stars. Easy to use and the assembly is solid.
R0000012,beauty,0,4,Great value. Fast shipping and the texture is excellent.
R0000013,home,1,3,Average. The delivery meets the basics.
R0000014,beauty,1,4,Five stars. Easy to use and the skin is solid.
R0000015,home,1,5,Love it — assembly is great and it works as expected.
R0000016,electronics,1,2,Poor quality. The setup is frustrating to deal with.
R0000017,fitness,0,2,Not worth it. The sweat failed after a week.
R0000018,home,0,4,Love it — packaging is great and it works as expected.
R0000019,home,1,2,Disappointed — the instructions is not good and support was unhelpful.
R0000020,pet,1,4,Surprisingly good. The ingredients exceeded my expectations.
R0000021,home,1,5,Love it — size is great and it works as expected.
R0000022,beauty,0,2,Disappointed — the scent is not good and support was unhelpful.
R0000023,fitness,1,5,Surprisingly good. The fit exceeded my expectations.
R0000024,beauty,1,4,Five stars. Easy to use and the scent is solid.
R0000025,electronics,1,3,Average. The charging meets the basics.
R0000026,home,1,5,Five stars. Easy to use and the quality is solid.
R0000027,electronics,1,5,Love it — charging is great and it works as expected.
R0000028,electronics,0,2,One star. The sound quality was misleading in the description.
R0000029,home,1,3,Average. The assembly meets the basics.
R0000030,home,1,5,Five stars. Easy to use and the quality is solid.
R0000031,electronics,1,5,Surprisingly good. The bluetooth exceeded my expectations.
R0000032,home,0,4,Great value. Fast shipping and the instructions is excellent.
R0000033,electronics,1,3,Decent overall. The sound quality could be better.
R0000034,home,1,5,Love it — packaging is great and it works as expected.
R0000035,electronics,1,2,Disappointed — the battery life is not good and support was unhelpful.
R0000036,electronics,0,4,Surprisingly good. The sound quality exceeded my expectations.
R0000037,fitness,0,5,Surprisingly good. The comfort exceeded my expectations.
R0000038,beauty,1,4,Five stars. Easy to use and the scent is solid.
R0000039,home,0,4,Great value. Fast shipping and the size is excellent.
R0000040,electronics,1,5,Surprisingly good. The battery life exceeded my expectations.
R0000041,electronics,1,5,Great value. Fast shipping and the charging is excellent.
R0000042,pet,1,5,Surprisingly good. The my cat exceeded my expectations.
R0000043,fitness,0,3,Decent overall. The grip could be better.
R0000044,fitness,0,4,Love it — durable is great and it works as expected.
R0000045,home,1,2,Not worth it. The size failed after a week.
R0000046,fitness,1,1,Poor quality. The sweat is frustrating to deal with.
R0000047,home,1,5,Five stars. Easy to use and the quality is solid.
R0000048,home,0,5,Great value. Fast shipping and the packaging is excellent.
R0000049,electronics,0,3,It’s okay. The charging is fine but nothing special.
R0000050,home,0,5,Five stars. Easy to use and the packaging is solid.
R0000051,fitness,1,5,Five stars. Easy to use and the workout is solid.
R0000052,fitness,1,1,One star. The fit was misleading in the description.
R0000053,beauty,1,4,Great value. Fast shipping and the irritation is excellent.
R0000054,beauty,1,3,Average. The irritation meets the basics.
R0000055,beauty,1,1,Poor quality. The hydrating is frustrating to deal with.
R0000056,home,0,5,Surprisingly good. The quality exceeded my expectations.
R0000057,electronics,1,5,Love it — sound quality is great and it works as expected.
R0000058,electronics,0,5,Great value. Fast shipping and the charging is excellent.
R0000059,fitness,1,4,Five stars. Easy to use and the workout is solid.
R0000060,home,1,5,Love it — delivery is great and it works as expected.
R0000061,home,1,5,Love it — instructions is great and it works as expected.
R0000062,home,0,5,Love it — instructions is great and it works as expected.
R0000063,beauty,1,4,Great value. Fast shipping and the scent is excellent.
R0000064,home,1,5,Five stars. Easy to use and the packaging is solid.
R0000065,pet,1,3,Decent overall. The taste could be better.
R0000066,beauty,0,4,Great value. Fast shipping and the hydrating is excellent.
R0000067,home,1,5,Surprisingly good. The quality exceeded my expectations.
R0000068,electronics,0,3,Average. The charging meets the basics.
R0000069,home,1,4,Surprisingly good. The instructions exceeded my expectations.
R0000070,beauty,1,4,Great value. Fast shipping and the value is excellent.
R0000071,electronics,1,5,Five stars. Easy to use and the battery life is solid.
R0000072,beauty,1,3,It’s okay. The hydrating is fine but nothing special.
R0000073,beauty,1,5,Great value. Fast shipping and the value is excellent.
R0000074,home,1,4,Great value. Fast shipping and the instructions is excellent.
R0000075,home,0,1,Disappointed — the packaging is not good and support was unhelpful.
R0000076,fitness,1,5,Great value. Fast shipping and the durable is excellent.
R0000077,electronics,0,3,Average. The charging meets the basics.
R0000078,fitness,1,3,Decent overall. The fit could be better.
R0000079,beauty,0,5,Love it — value is great and it works as expected.
R0000080,pet,1,4,Love it — my dog is great and it works as expected.
R0000081,electronics,1,5,Surprisingly good. The battery life exceeded my expectations.
R0000082,beauty,1,3,It’s okay. The irritation is fine but nothing special.
R0000083,fitness,1,5,Five stars. Easy to use and the sweat is solid.
R0000084,home,1,4,Great value. Fast shipping and the size is excellent.
R0000085,electronics,1,5,Surprisingly good. The setup exceeded my expectations.
R0000086,pet,0,5,Surprisingly good. The ingredients exceeded my expectations.
R0000087,electronics,1,5,Great value. Fast shipping and the setup is excellent.
R0000088,home,0,5,Surprisingly good. The instructions exceeded my expectations.
R0000089,fitness,1,2,One star. The grip was misleading in the description.
R0000090,pet,0,5,Love it — my cat is great and it works as expected.
R0000091,fitness,1,5,Surprisingly good. The workout exceeded my expectations.
R0000092,electronics,0,5,Love it — battery life is great and it works as expected.
R0000093,electronics,1,5,Love it — bluetooth is great and it works as expected.
R0000094,fitness,0,3,Average. The grip meets the basics.
R0000095,fitness,1,5,Great value. Fast shipping and the grip is excellent.
R0000096,electronics,1,4,Great value. Fast shipping and the sound quality is excellent.
R0000097,home,1,5,Surprisingly good. The size exceeded my expectations.
R0000098,beauty,1,5,Great value. Fast shipping and the irritation is excellent.
R0000099,home,0,4,Great value. Fast shipping and the packaging is excellent.
R0000100,pet,0,5,Love it — my dog is great and it works as expected.
R0000101,pet,0,1,Not worth it. The my cat failed after a week.
R0000102,fitness,1,4,Surprisingly good. The grip exceeded my expectations.
R0000103,home,0,5,Great value. Fast shipping and the quality is excellent.
R0000104,fitness,1,4,Love it — grip is great and it works as expected.
R0000105,electronics,1,1,Disappointed — the bluetooth is not good and support was unhelpful.
R0000106,beauty,1,1,Disappointed — the hydrating is not good and support was unhelpful.
R0000107,fitness,1,2,One star. The workout was misleading in the description.
R0000108,home,1,5,Great value. Fast shipping and the assembly is excellent.
R0000109,home,0,4,Five stars. Easy to use and the delivery is solid.
R0000110,pet,0,5,Five stars. Easy to use and the ingredients is solid.
R0000111,beauty,1,3,Average. The scent meets the basics.
R0000112,pet,0,5,Great value. Fast shipping and the smell is excellent.
R0000113,beauty,1,3,Average. The skin meets the basics.
R0000114,beauty,1,3,It’s okay. The hydrating is fine but nothing special.
R0000115,beauty,1,5,Great value. Fast shipping and the scent is excellent.
R0000116,beauty,1,1,Poor quality. The value is frustrating to deal with.
R0000117,electronics,0,5,Surprisingly good. The battery life exceeded my expectations.
R0000118,fitness,0,5,Five stars. Easy to use and the durable is solid.
R0000119,home,1,4,Love it — delivery is great and it works as expected.
R0000120,home,1,5,Surprisingly good. The size exceeded my expectations.
